"66","318","GDXD","DL","3","","0","0","V","D","N","V","C","I","0","0","0","moko"
"67","319","DLXT","TB","3","","0","0","O","D","N","O","D","N","0","0","0","waldi"
"68","320","DLXT","TB","3","","0","0","V","D","N","V","D","N","0","0","0","sukri"
"69","321","DLXD","DB","3","","0","0","V","D","N","V","D","N","0","0","0","sukri"
"70","322","GDXD","DL","3","","0","0","O","D","N","O","D","N","0","0","0","waldi"
"71","323","GDXD","DL","3","","0","0","V","D","N","V","C","I","0","0","0","moko"
"72","324","GDXD","DL","3","","0","0","V","D","N","V","C","N","0","0","0","moko"
"73","325","DLXT","TB","3","","0","0","V","D","N","V","C","N","0","0","0","moko"
"74","326","DLXT","TB","3","","0","0","V","D","I","V","C","I","0","0","0","moko"
"75","327","DLXD","DB","3","","0","0","V","D","N","V","C","N","0","0","0","moko"
"76","328","GDXD","DL","3","","0","0","O","D","N","O","D","N","0","0","0","waldi"
"77","329","DLXT","TB","3","","0","0","V","D","N","V","D","N","0","0","0","waldi"
"78","330","DLXT","TB","3","","0","0","V","D","N","V","D","N","0","0","0","waldi"
"79","331","DLXD","DB","3","","0","0","V","D","I","V","D","N","0","0","0","sukri"
"80","332","DLXD","DB","3","","0","0","O","D","N","O","D","N","0","0","0","waldi"
"81","333","DLXT","TB","3","","0","0","V","D","N","V","D","N","0","0","0","waldi"
"82","334","DLXT","TB","3","","0","0","V","D","N","V","D","I","0","0","0","waldi"
"83","335","DLXD","DB","3","","0","0","O","D","I","O","D","N","0","0","0","waldi"
"84","336","DLXD","DB","3","","0","0","V","D","N","V","D","N","0","0","0","waldi"
"85","337","DLXT","TB","3","","0","0","V","D","N","V","C","N","0","0","0","moko"
"86","338","DLXT","TB","3","","0","0","V","D","N","V","C","N","0","0","0","moko"
"87","339","DLXD","DB","3","","0","0","V","D","N","V","C","I","0","0","0","moko"
"88","340","DLXD","DB","3","","0","0","V","D","N","V","C","I","0","0","0","moko"
"89","341","DLXT","TB","3","","0","0","O","D","N","O","D","N","0","0","0","waldi"
"90","342","DLXT","TB","3","","0","0","O","D","N","O","D","N","0","0","0","waldi"
"91","343","DLXD","DB","3","","0","0","V","D","N","V","C","I","0","0","0","moko"
"92","344","DLXD","DB","3","","0","0","V","D","N","V","C","I","0","0","0","moko"
"93","345","DLXT","TB","3","","0","0","V","D","I","V","D","N","0","0","0","moko"
"94","346","DLXT","TB","3","","0","0","V","D","I","V","C","I","0","0","0","moko"
"95","347","DLXT","TB","3","","0","0","V","D","N","V","D","N","0","0","0","sukri"
"96","348","DLXT","TB","3","","0","0","V","D","N","V","C","I","0","0","0","moko"
"97","401","DLXD","DB","4","","0","0","V","D","N","V","D","N","0","0","0","waldi"
"98","402","DLXT","TB","4","","0","0","V","D","N","V","D","N","0","0","0","waldi"
"99","403","DLXT","TB","4","","0","0","V","D","N","V","C","I","0","0","0","moko"
"100","404","GDXD","DL","4","","0","0","V","D","N","V","D","N","0","0","0","sukri"
"101","405","DLXD","DB","4","","0","0","V","D","I","V","C","I","0","0","0","moko"
"102","406","GDXD","DL","4","","0","0","V","D","N","V","C","I","0","0","0","moko"
"103","407","DLXD","DB","4","","0","0","V","D","I","V","C","I","0","0","0","moko"
"104","409","DLXT","TB","4","","0","0","V","D","N","V","D","N","0","0","0","milsen"
"105","411","SUITE","SD","4","","0","0","V","D","N","V","C","N","0","0","0","moko"
